incident_characteristics,incident_id,date,state,city_or_county,address,n_killed,n_injured,latitude,location_description,longitude,n_guns_involved
"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed",96317,2014-01-14,California,Los Angeles,Wilshire Boulevard ,1,0,34.0641,,-118.371,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Gang involvement||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed||Car-jacking",97452,2014-01-16,California,Fresno,Shaw and Polk avenues,2,2,36.8081,,-119.889,
"Shot - Dead (murder, accidental, suicide)||Armed robbery with injury/death and/or evidence of DGU found",97001,2014-01-16,California,Oakland,14th Ave and E 21st St,1,0,37.7938,,-122.24,1.0
"Shot - Dead (murder, accidental, suicide)",174344,2014-01-16,California,Inglewood,604 South Walnut Street,2,0,33.9567,,-118.356,
"Shot - Dead (murder, accidental, suicide)",111986,2014-01-16,California,San Jacinto,1000 block of Falcon Court ,1,0,33.7768,,-116.941,
"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed",183965,2014-01-16,California,Lake Elsinore,18400 block of Dexter Avenue,1,0,33.6943,,-117.339,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)",97930,2014-01-17,California,San Bernardino,1100 block of North Wall Avenue ,2,2,34.1195,,-117.281,
"Shot - Dead (murder, accidental, suicide)",174338,2014-01-17,California,Boyle Heights,617 North Fickett Street,1,0,34.0488,,-118.204,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Murder/Suicide",111993,2014-01-17,California,Palmdale,37700 block of Christensen Court,1,1,34.5659,,-118.043,
"Shot - Dead (murder, accidental, suicide)",98016,2014-01-17,California,Los Angeles,600 block of Santa Fe Avenue,1,0,33.8474,,-118.212,
"Shot - Dead (murder, accidental, suicide)",174336,2014-01-18,California,Los Angeles,18211 Van Ness Avenue,1,0,33.8646,,-118.319,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)",97716,2014-01-18,California,Fillmore,Grand Avenue,1,1,34.4319,,-118.93,
